County,Constituency,Sub-County,IEBC_CN,IEBC-CC,IEBC-CN,IEBC-CONSC,VOTERS,ColCODE,ConstNAME,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Mombasa,Changamwe,Changamwe,CHANGAMWE ,1,MOMBASA ,1,93561,1,Changamwe,65215095,92849012,98270736,81896551.72,98189655.17,109040875.5,137367724.1,137388879.3,137088879,,,179441954.5,192613248
Mombasa,Jomvu,Jomvu,JOMVU ,1,MOMBASA ,2,75085,2,Jomvu,64126631,91199962,96509499,81896551.72,98189655.17,109040875.5,137367724.1,137367879.3,137088879,131342462,157825629,161497759,173351923
Mombasa,Kisauni,Kisauni,KISAUNI ,1,MOMBASA ,3,135276,3,Kisauni,69255070,98969680,104807803,81896551.72,98189655.17,109040875.5,137367724.1,137103879.3,137088879,158832745,192897991,197386149.9,211874573
Mombasa,Nyali,Nyali,NYALI ,1,MOMBASA ,4,124253,4,Nyali,67589409,96446159,102112603,81896551.72,98189655.17,109040875.5,137367724.1,137316879.3,137088879,145087603,175361810,179441954.5,192613248
Mombasa,Likoni,Likoni,LIKONI ,1,MOMBASA ,5,94764,5,Likoni,66565362,94894701,100455597,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Mombasa,Mvita,Mvita,MVITA ,1,MOMBASA ,6,118974,6,Mvita,64976201,92487081,97884183,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Kwale,Msambweni,Msambweni,MSAMBWENI ,2,KWALE ,7,82261,7,Msambweni,"79,719,089",114822943.0,121739588.0,81896551.7,98189655.2,109040875.5,137367724.1,137337879.3,137088879.0,138215033.0,166593720.0,170469856.7,182982585.0
Kwale,Lunga Lunga,Lunga Lunga,LUNGALUNGA ,2,KWALE ,8,64854,8,LungaLunga,94755147.0,137602963.0,146069368.0,81896551.7,98189655.2,109040875.5,137367724.1,137088879.3,137088879.0,138215033.0,166593720.0,170474856.7,182982585.0
Kwale,Matuga,Matuga,MATUGA ,2,KWALE ,9,83015,9,Matuga,84008780,121321937.0,128680719.0,81896551.7,98189655.2,109040875.5,137367724.1,137088879.3,137088879.0,145087603.0,175361810.0,179441954.5,192613248.0
Kwale,Kinango,Kinango,KINANGO ,2,KWALE ,10,98123,10,Kinango,110038096,160757031,170798644,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,158832745,192897991,197386149.9,211874573
Kilifi,Kilifi North,Kilifi North,KILIFI NORTH,3,KILIFI ,11,116742,11,Kilifi-North,91522984,132706153,140839421,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,158832745,192897991,197386149.9,211874573
Kilifi,Kilifi South,Kilifi South,KILIFI SOUTH,3,KILIFI ,12,97696,12,Kilifi-South,78341780,112736282,119510969,81896551.72,98189655.17,109040875.5,137367724.1,137215879.3,137088879,145087603,175361810,179467954.5,192613248
Kilifi,Kaloleni,Kaloleni,KALOLENI ,3,KILIFI ,13,73009,13,Kaloleni,83731176,120901359,128231528,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170555393.5,183086585
Kilifi,Rabai,Rabai,RABAI ,3,KILIFI ,14,59165,14,Rabai,69867981,99898256,105799552,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Kilifi,Ganze,Ganze,GANZE ,3,KILIFI ,15,67257,15,Ganze,91799949,133125762,141287576,81896551.72,98189655.17,109040875.5,137367724.1,137295379.3,137088879,138215033,166593720,170469856.7,182982585
Kilifi,Malindi,Malindi,MALINDI ,3,KILIFI ,16,94605,16,Malindi,82422859,118919225,126114546,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Kilifi,Magarini,Magarini,MAGARINI ,3,KILIFI ,17,80128,17,Magarini,102288872,149016755,158259658,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188450052.2,202243910
Tana River,Garsen,Garsen,GARSEN ,4,TANA RIVER,18,55453,18,Garsen,80239023,115610656,122580891,81896551.72,98189655.17,109040875.5,137367724.1,137454879.3,137088879,151960174,184129901,188414052.2,202243910
Tana River,Galole,Galole,GALOLE ,4,TANA RIVER,19,39965,19,Galole,71994254,103119615,109240065,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Tana River,Bura,Bura,BURA ,4,TANA RIVER,20,45678,20,Bura,76941931,110615476,117245880,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Lamu,Lamu East,Lamu East,LAMU EAST,5,LAMU ,21,22047,21,Lamu-East,60186412,85230425,90133846,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,131342462,157825629,161497759,173351923
Lamu,Lamu West,Lamu West,LAMU WEST,5,LAMU ,22,59406,22,Lamu-West,67004319,95559733,101165872,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,158832745,192897991,197386149.9,211874573
Taita Taveta,Taveta,Taveta,TAVETA ,6,TAITA TAVETA,23,41031,23,Taveta,70255922,100485997,106427277,81896551.72,98189655.17,109040875.5,137367724.1,137132879.3,137088879,145087603,175533810,179441954.5,192613248
Taita Taveta,Wundanyi,Wundanyi,WUNDANYI ,6,TAITA TAVETA,24,35008,24,Wundanyi,67757063,96700160,102383885,81896551.72,98189655.17,109040875.5,137367724.1,137288879.3,137088879,138215033,166593720,170469856.7,182982585
Taita Taveta,Mwatate,Mwatate,MWATATE ,6,TAITA TAVETA,25,44411,25,Mwatate,68968974,98536236,104344872,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Taita Taveta,Voi,Voi,VOI ,6,TAITA TAVETA,26,61377,26,Voi,69917064,99972618,105878973,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184249901,188649643.3,202243910
Garissa,Garissa Township,Garissa Township,GARISSA TOWNSHIP,7,GARISSA ,27,53253,27,Garissa-Township,65632079,93480753,98945456,81896551.72,98189655.17,109040875.5,137367724.1,137321379.3,137088879,138215033,166593720,170469856.7,182982585
Garissa,Balambala,Balambala,BALAMBALA ,7,GARISSA ,28,26085,28,Balambala,73852369,105934708,112246673,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Garissa,Lagdera,Lagdera,LAGDERA ,7,GARISSA ,29,26949,29,Lagdera,77164284,110952346,117605669,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Garissa,Dadaab,Dadaab,DADAAB ,7,GARISSA ,30,38185,30,Dadaab,85601198,123734492,131257403,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Garissa,Fafi,Fafi,FAFI ,7,GARISSA ,31,27335,31,Fafi,75290099,108112906,114573058,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Garissa,Ijara,Ijara,IJARA ,7,GARISSA ,32,29666,32,Ijara,75022454,107707417,114139982,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Wajir,Wajir North,Wajir North,WAJIR NORTH,8,WAJIR ,33,33927,33,Wajir-North,92987961,134925630,143,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,158832745,192897991,197386149.9,211874573
